station,lat,long,As,Cd,Cr,Pb,hg,ni,cu,Zn,fe,Mn,co,al,se,sb,ba,v,HPI
Rajkot1,22.3,70.8,0.017,0.002,0.071,0.007,0.001,0.02,0.927,4.559,0.323,0.062,0.055,0.362,0.01,0.003,0.726,0.023,0.01
Salaya,22.30555556,69.60416667,0.017,0.002,0.067,0.016,0.001,0.019,0.737,3.122,0.175,0.073,0.018,0.28,0.014,0.004,0.615,0.029,0.01
Rajpada,22.30833333,71.69166667,0.012,0.003,0.025,0.012,0.001,0.029,1.043,2.893,0.388,0.148,0.056,0.274,0.018,0.005,0.642,0.012,0.01
Chhota udepur,22.30833333,74.01666667,0.016,0.002,0.048,0.006,0.002,0.018,1.029,1.439,0.35,0.196,0.017,0.298,0.012,0.003,0.9,0.058,0.01
Navapura,22.3125,72.9625,0.008,0.003,0.073,0.019,0.001,0.024,1.082,3.499,0.287,0.182,0.013,0.351,0.012,0.003,0.706,0.041,0.01
Moti matli,22.31666667,70.26388889,0.01,0.002,0.019,0.014,0.001,0.013,1.533,2.287,0.364,0.068,0.027,0.249,0.019,0.005,0.956,0.067,0.01
Kajuda,22.33333333,69.70833333,0.011,0.003,0.078,0.017,0.001,0.03,1.09,3.705,0.236,0.162,0.058,0.197,0.008,0.005,0.971,0.047,0.01
Sayapar,22.33527778,70.95888889,0.016,0.004,0.057,0.012,0.001,0.023,1.105,2.204,0.364,0.168,0.067,0.38,0.011,0.006,0.903,0.061,0.01
Kansari1,22.34166667,72.65,0.01,0.003,0.067,0.016,0.001,0.023,1.475,3.592,0.151,0.09,0.062,0.21,0.01,0.001,0.747,0.016,0.01
Pavi,22.34166667,73.83333333,0.01,0.002,0.08,0.013,0.001,0.018,0.562,1.028,0.391,0.121,0.033,0.223,0.011,0.003,0.775,0.018,0.01
Ras,22.34583333,72.83333333,0.017,0.005,0.078,0.008,0.001,0.014,1.946,4.864,0.318,0.085,0.028,0.197,0.006,0.003,0.6,0.054,0.01
Changa,22.35,70.04166667,0.007,0.003,0.071,0.006,0.002,0.014,0.501,2.938,0.443,0.088,0.021,0.323,0.011,0.001,0.788,0.055,0.01
Bhadran,22.35555556,72.89722222,0.02,0.001,0.075,0.008,0.002,0.014,1.83,2.027,0.303,0.171,0.035,0.214,0.018,0.005,0.518,0.016,0.01
Gamph,22.35833333,72.16666667,0.008,0.002,0.014,0.009,0.002,0.017,1.483,1.95,0.225,0.161,0.016,0.169,0.006,0.002,0.626,0.059,0.01
Mojap,22.36666667,68.98333333,0.007,0.003,0.08,0.015,0.002,0.029,1.845,1.524,0.409,0.199,0.024,0.373,0.005,0.002,0.921,0.062,0.01
Ranpur1,22.36666667,70.92916667,0.005,0.002,0.057,0.017,0.002,0.029,1.823,3.27,0.336,0.144,0.031,0.188,0.009,0.005,0.573,0.066,0.01
Ghamodi,22.36666667,74.075,0.015,0.005,0.055,0.019,0.001,0.025,1.842,2.397,0.19,0.171,0.054,0.258,0.006,0.004,0.577,0.047,0.01
Ferkuva,22.36666667,74.20833333,0.008,0.003,0.024,0.017,0.001,0.025,1.593,3.758,0.118,0.149,0.03,0.4,0.014,0.003,0.777,0.046,0.01
Jambughoda,22.36944444,73.725,0.013,0.005,0.014,0.008,0.002,0.016,1.167,4.579,0.388,0.144,0.037,0.389,0.013,0.002,0.639,0.028,0.01
Jambughoda1,22.37277778,73.72277778,0.008,0.002,0.051,0.007,0.001,0.018,0.551,2.877,0.317,0.074,0.028,0.375,0.009,0.002,0.747,0.065,0.01
Samrasar1,22.375,69.10416667,0.011,0.003,0.013,0.011,0.001,0.014,1.626,3.966,0.384,0.088,0.027,0.378,0.01,0.005,0.811,0.047,0.01
Dhandhuka1,22.375,71.98611111,0.008,0.002,0.066,0.006,0.001,0.021,0.727,3.158,0.425,0.06,0.012,0.32,0.02,0.005,0.936,0.05,0.01
Devalia,22.37777778,71.98611111,0.007,0.003,0.039,0.013,0.001,0.024,0.623,3.664,0.226,0.089,0.03,0.265,0.016,0.002,0.888,0.015,0.01
Dhandhalpur,22.37916667,71.35,0.018,0.004,0.077,0.014,0.002,0.011,0.641,4.691,0.187,0.065,0.069,0.125,0.009,0.007,0.823,0.034,0.01
Targhari,22.38333333,70.66666667,0.013,0.004,0.056,0.012,0.001,0.019,0.58,2.789,0.38,0.175,0.044,0.371,0.019,0.004,0.518,0.044,0.01
Anklav2,22.38333333,73.00833333,0.013,0.003,0.066,0.006,0.001,0.01,1.093,3.517,0.296,0.052,0.019,0.28,0.008,0.005,0.532,0.067,0.01
Asala,22.38333333,73.93333333,0.015,0.004,0.073,0.007,0.002,0.016,0.791,3.924,0.499,0.075,0.014,0.137,0.012,0.005,0.667,0.013,0.01
Moti khavdi,22.3875,69.86666667,0.015,0.003,0.072,0.007,0.002,0.03,0.538,2.496,0.2,0.072,0.065,0.227,0.015,0.004,0.603,0.052,0.01
Chisadia,22.4,74.13333333,0.011,0.004,0.046,0.015,0.001,0.029,0.604,1.804,0.129,0.066,0.058,0.243,0.019,0.003,0.632,0.017,0.01
Javan,22.40138889,73.685,0.019,0.004,0.023,0.013,0.001,0.029,0.706,2.776,0.133,0.167,0.059,0.394,0.015,0.002,0.99,0.061,0.01
Vijarkha,22.41666667,70.18333333,0.011,0.002,0.02,0.015,0.002,0.015,1.729,4.118,0.223,0.171,0.064,0.39,0.007,0.004,0.504,0.041,0.01
Bamanbor,22.41666667,71.04166667,0.014,0.003,0.013,0.009,0.001,0.013,1.951,1.543,0.193,0.173,0.02,0.307,0.018,0.004,0.626,0.053,0.01
Laxmipura,22.41666667,72.60833333,0.01,0.004,0.025,0.009,0.002,0.013,1.983,1.21,0.24,0.15,0.063,0.312,0.016,0.002,0.891,0.017,0.01
Moti Moladi,22.42083333,71.11027778,0.01,0.003,0.077,0.013,0.001,0.029,1.808,4.304,0.479,0.055,0.03,0.108,0.019,0.005,0.649,0.037,0.01
Dharmaj,22.42083333,72.79444444,0.009,0.002,0.015,0.005,0.002,0.021,0.99,3.499,0.279,0.097,0.035,0.139,0.006,0.001,0.948,0.051,0.01
Karamasiya,22.42083333,73.41944444,0.01,0.002,0.031,0.006,0.002,0.018,1.85,4.737,0.121,0.156,0.042,0.219,0.009,0.002,0.755,0.049,0.01
Shivrajpur,22.425,73.59166667,0.018,0.004,0.067,0.011,0.001,0.018,1.161,4.912,0.459,0.143,0.033,0.218,0.008,0.001,0.896,0.027,0.01
Aramda,22.43333333,69.04166667,0.015,0.003,0.054,0.019,0.001,0.015,1.906,3.032,0.129,0.157,0.06,0.37,0.018,0.005,0.886,0.064,0.01
Vanala,22.43333333,71.92083333,0.019,0.004,0.028,0.007,0.002,0.021,1.895,3.236,0.146,0.06,0.06,0.279,0.018,0.001,0.926,0.066,0.01
Bed1,22.4375,69.9,0.007,0.003,0.071,0.015,0.001,0.026,1.393,4.142,0.415,0.108,0.015,0.223,0.015,0.002,0.529,0.02,0.01
Bhalgam,22.44166667,71.08333333,0.013,0.003,0.071,0.016,0.001,0.02,1.244,4.455,0.311,0.118,0.066,0.103,0.019,0.004,0.579,0.058,0.01
Jojh,22.44166667,73.9625,0.005,0.003,0.045,0.007,0.002,0.012,1,2.294,0.135,0.092,0.061,0.225,0.008,0.002,0.755,0.063,0.01
Padadhari,22.44722222,70.60833333,0.019,0.005,0.047,0.013,0.001,0.019,0.686,4.058,0.35,0.063,0.048,0.385,0.006,0.002,0.587,0.054,0.01
Padadhari1,22.44722222,70.60833333,0.012,0.001,0.061,0.016,0.001,0.021,0.777,2.557,0.228,0.183,0.013,0.395,0.01,0.001,0.741,0.053,0.01
Gordhanpur,22.45,70.00138889,0.02,0.004,0.033,0.015,0.001,0.02,1.213,3.862,0.433,0.063,0.034,0.137,0.018,0.006,0.691,0.031,0.01
Movaiya,22.45,70.60833333,0.007,0.005,0.028,0.007,0.002,0.024,1.757,3.149,0.211,0.06,0.028,0.257,0.012,0.003,0.889,0.042,0.01
Sudamda,22.45416667,71.485,0.02,0.002,0.064,0.016,0.002,0.011,1.493,1.181,0.126,0.13,0.013,0.27,0.006,0.006,0.823,0.057,0.01
Jamnagar2,22.45833333,70.07916667,0.013,0.004,0.035,0.019,0.002,0.024,0.926,1.829,0.457,0.079,0.048,0.394,0.012,0.003,0.685,0.013,0.01
Khamta,22.475,70.55,0.012,0.004,0.056,0.017,0.001,0.014,1.024,2.478,0.309,0.123,0.058,0.124,0.005,0.006,0.69,0.061,0.01
Vadala,22.475,73.31666667,0.006,0.005,0.053,0.008,0.002,0.021,0.952,2.855,0.226,0.135,0.027,0.311,0.015,0.001,0.904,0.027,0.01
Adas_DW,22.47861111,73.03027778,0.017,0.005,0.071,0.013,0.002,0.028,1.345,1.267,0.288,0.147,0.026,0.168,0.017,0.001,0.789,0.011,0.01
Tundav,22.48333333,73.20277778,0.009,0.003,0.034,0.01,0.002,0.017,0.528,3.732,0.107,0.149,0.014,0.216,0.014,0.004,0.676,0.04,0.01
Pavagadh,22.4875,73.55555556,0.011,0.004,0.058,0.018,0.002,0.013,0.926,3.344,0.375,0.153,0.05,0.319,0.008,0.007,0.574,0.02,0.01
Dheduki,22.5,71.325,0.008,0.003,0.023,0.02,0.002,0.026,0.921,3.696,0.308,0.176,0.01,0.337,0.01,0.003,0.884,0.029,0.01
Neknam,22.50416667,70.69583333,0.009,0.002,0.049,0.016,0.001,0.011,0.574,1.745,0.155,0.153,0.044,0.279,0.01,0.003,0.617,0.047,0.01
Chhatar,22.50416667,70.75416667,0.008,0.003,0.07,0.007,0.001,0.015,1.474,4.097,0.472,0.123,0.014,0.336,0.01,0.004,0.885,0.034,0.01
Juna samalya,22.50416667,73.28333333,0.006,0.002,0.047,0.014,0.001,0.027,1.368,3.66,0.405,0.165,0.052,0.369,0.009,0.006,0.95,0.053,0.01
Timbi2,22.50833333,73.50833333,0.016,0.004,0.058,0.02,0.001,0.028,1.097,1.195,0.471,0.183,0.032,0.376,0.013,0.001,0.979,0.054,0.01
Tol,22.51083333,72.56666667,0.015,0.005,0.046,0.013,0.001,0.016,1.032,2.296,0.178,0.188,0.027,0.283,0.018,0.001,0.538,0.016,0.01
Kevadi,22.51666667,73.94166667,0.014,0.003,0.052,0.011,0.002,0.028,1.558,4.37,0.407,0.175,0.031,0.293,0.017,0.001,0.908,0.038,0.01
Jambuda,22.525,70.20416667,0.008,0.002,0.039,0.019,0.002,0.016,1.267,1.862,0.379,0.095,0.017,0.224,0.019,0.004,0.807,0.057,0.01
Falla,22.52916667,70.30833333,0.012,0.004,0.043,0.008,0.002,0.024,1.036,1.705,0.439,0.098,0.036,0.114,0.016,0.002,0.946,0.068,0.01
Bandhani,22.54166667,72.81666667,0.017,0.004,0.054,0.02,0.002,0.017,0.795,4.756,0.254,0.059,0.023,0.149,0.009,0.006,0.989,0.058,0.01
Tarkanda,22.54583333,73.52916667,0.012,0.002,0.059,0.017,0.001,0.029,1.955,1.889,0.107,0.134,0.045,0.308,0.01,0.004,0.599,0.066,0.01
Sindhavadar,22.55,70.89166667,0.014,0.004,0.043,0.013,0.001,0.026,0.992,3.975,0.462,0.196,0.049,0.259,0.02,0.006,0.54,0.013,0.01
Warod,22.55833333,71.65416667,0.014,0.003,0.014,0.016,0.001,0.018,1.905,2.935,0.19,0.1,0.059,0.239,0.019,0.005,0.536,0.015,0.01
Dhrol2,22.56666667,70.41666667,0.01,0.002,0.021,0.014,0.002,0.03,0.641,2.925,0.334,0.054,0.028,0.352,0.018,0.006,0.537,0.033,0.01
Limbdi1,22.56666667,71.8125,0.016,0.002,0.054,0.012,0.001,0.027,1.458,3.104,0.399,0.172,0.043,0.332,0.016,0.002,0.754,0.037,0.01
Shekhupura,22.575,72.625,0.017,0.004,0.033,0.016,0.001,0.027,0.687,1.019,0.14,0.19,0.016,0.345,0.019,0.004,0.842,0.029,0.01
Anand,22.575,72.97222222,0.013,0.002,0.027,0.006,0.002,0.017,1.864,4.829,0.482,0.174,0.011,0.2,0.013,0.003,0.643,0.019,0.01
Than,22.57916667,71.19972222,0.014,0.003,0.069,0.006,0.002,0.021,1.9,1.688,0.249,0.188,0.052,0.105,0.019,0.002,0.801,0.047,0.01
Kanjetha,22.58055556,74.11388889,0.006,0.002,0.057,0.019,0.001,0.028,1.186,3.821,0.181,0.087,0.026,0.242,0.01,0.001,0.743,0.03,0.01
Dabhava,22.58333333,73.90416667,0.017,0.001,0.049,0.019,0.001,0.026,1.494,2.346,0.271,0.149,0.043,0.194,0.014,0.005,0.763,0.027,0.01
Kalol_UR2,22.58972222,73.45138889,0.006,0.003,0.077,0.006,0.001,0.014,1.346,3.687,0.412,0.068,0.045,0.217,0.015,0.006,0.775,0.046,0.01
Rasulpur,22.6,73.23333333,0.016,0.003,0.016,0.013,0.001,0.03,1.579,4.929,0.207,0.062,0.066,0.364,0.008,0.001,0.561,0.023,0.01
Kalol_UR1,22.60027778,73.44333333,0.012,0.005,0.053,0.019,0.001,0.017,1.999,2.308,0.163,0.099,0.052,0.373,0.014,0.002,0.756,0.035,0.01
Tokarba,22.60416667,74.0375,0.01,0.002,0.038,0.011,0.001,0.023,1.961,4.601,0.264,0.112,0.038,0.229,0.014,0.005,0.679,0.033,0.01
Haryana,22.60833333,70.2625,0.007,0.002,0.032,0.006,0.002,0.028,0.518,3.464,0.426,0.168,0.035,0.277,0.006,0.005,0.987,0.063,0.01
Wankaner-1,22.62083333,70.92916667,0.017,0.005,0.065,0.005,0.001,0.017,1.12,1.443,0.264,0.118,0.037,0.169,0.018,0.006,0.731,0.04,0.01
Boriyani,22.63222222,73.00416667,0.019,0.005,0.038,0.008,0.001,0.021,1.696,2.846,0.116,0.176,0.04,0.2,0.007,0.002,0.791,0.054,0.01
Dhanpur,22.63333333,74.10416667,0.013,0.003,0.032,0.013,0.002,0.019,1.044,1.381,0.391,0.198,0.025,0.213,0.012,0.004,0.729,0.015,0.01
Boriyavi,22.63555556,72.90916667,0.016,0.002,0.026,0.016,0.001,0.011,1.988,3.635,0.228,0.134,0.031,0.139,0.017,0.004,0.902,0.059,0.01
Tarnetar,22.64166667,71.21666667,0.005,0.004,0.041,0.02,0.002,0.013,1.032,2.703,0.147,0.176,0.063,0.195,0.007,0.002,0.929,0.029,0.01
Muli,22.65,71.46666667,0.01,0.003,0.058,0.007,0.001,0.021,0.654,1.322,0.367,0.189,0.061,0.191,0.008,0.002,0.737,0.024,0.01
Kalyanpur2,22.65833333,70.73333333,0.011,0.001,0.075,0.019,0.002,0.027,1.692,2.513,0.453,0.112,0.054,0.364,0.008,0.002,0.635,0.032,0.01
Khadki_Vadiya,22.66222222,73.50027778,0.017,0.002,0.036,0.02,0.002,0.023,1.245,3.289,0.287,0.142,0.034,0.215,0.014,0.003,0.719,0.06,0.01
Shiyani,22.66666667,71.82916667,0.015,0.004,0.024,0.017,0.001,0.011,0.73,4.209,0.473,0.11,0.06,0.229,0.015,0.004,0.911,0.012,0.01
Chhaliyar,22.66666667,73.31666667,0.017,0.004,0.068,0.015,0.001,0.03,1.753,4.894,0.268,0.18,0.022,0.334,0.018,0.002,0.596,0.039,0.01
Ambakatch,22.66666667,74.22027778,0.008,0.004,0.066,0.01,0.001,0.02,1.053,3.409,0.181,0.147,0.02,0.118,0.02,0.007,0.734,0.033,0.01
Bapda,22.67,73.84166667,0.015,0.004,0.044,0.01,0.002,0.012,1.231,2.272,0.396,0.085,0.046,0.283,0.016,0.005,0.514,0.017,0.01
Garbara,22.68055556,74.3125,0.019,0.001,0.077,0.014,0.001,0.027,1.887,3.551,0.452,0.118,0.03,0.206,0.011,0.006,0.956,0.024,0.01
Bedanpur,22.68333333,70.31666667,0.01,0.002,0.064,0.015,0.001,0.029,1.886,3.525,0.407,0.115,0.056,0.138,0.016,0.003,0.518,0.054,0.01
Hadmatia,22.68333333,70.80833333,0.015,0.003,0.065,0.015,0.001,0.024,0.917,3.597,0.172,0.141,0.052,0.188,0.015,0.003,0.659,0.018,0.01
Nadiad2,22.68333333,72.88333333,0.013,0.003,0.049,0.014,0.002,0.024,1.911,3.44,0.247,0.142,0.029,0.215,0.013,0.004,0.531,0.063,0.01
Ghora,22.69166667,73.05416667,0.009,0.001,0.024,0.008,0.002,0.016,1.607,3.77,0.201,0.16,0.066,0.235,0.006,0.006,0.658,0.021,0.01
Vejalpur,22.69583333,73.55833333,0.016,0.004,0.07,0.009,0.001,0.018,1.599,1.234,0.105,0.1,0.019,0.154,0.01,0.002,0.802,0.062,0.01
Devgadh Baria,22.7,73.91388889,0.006,0.003,0.026,0.016,0.002,0.013,1.236,4.704,0.384,0.172,0.022,0.216,0.007,0.002,0.665,0.02,0.01
Alindra,22.70083333,72.97666667,0.007,0.002,0.023,0.014,0.001,0.013,1.526,4.701,0.43,0.189,0.048,0.15,0.015,0.004,0.583,0.03,0.01
Khandania,22.70416667,73.8375,0.013,0.003,0.062,0.014,0.001,0.021,1.151,2.762,0.26,0.16,0.038,0.276,0.014,0.007,0.656,0.044,0.01
Ranipet,22.70833333,71.21666667,0.005,0.003,0.078,0.011,0.001,0.017,1.683,4.587,0.348,0.141,0.06,0.168,0.006,0.003,0.615,0.043,0.01
Parvata,22.71361111,73.12666667,0.011,0.004,0.053,0.006,0.001,0.013,1.231,1.128,0.317,0.147,0.042,0.141,0.013,0.004,0.98,0.025,0.01
Lajai,22.71666667,70.77916667,0.013,0.003,0.063,0.009,0.001,0.017,1.43,1.361,0.128,0.155,0.023,0.356,0.011,0.002,0.951,0.06,0.01
Surendranagar2,22.71666667,71.60833333,0.017,0.001,0.073,0.011,0.001,0.011,1.811,2.808,0.282,0.161,0.012,0.245,0.019,0.003,0.894,0.015,0.01
Tavi,22.72083333,71.85416667,0.018,0.005,0.048,0.014,0.002,0.025,1.429,1.786,0.478,0.197,0.014,0.355,0.019,0.001,0.654,0.018,0.01
Kalesar,22.72083333,73.19166667,0.011,0.003,0.011,0.01,0.001,0.019,0.679,2.871,0.428,0.18,0.027,0.272,0.014,0.002,0.725,0.066,0.01
Surendranagar,22.72361111,71.67083333,0.009,0.002,0.022,0.007,0.001,0.027,1.201,1.83,0.361,0.097,0.033,0.358,0.005,0.006,0.889,0.013,0.01
Ranipura,22.725,73.75833333,0.01,0.002,0.034,0.017,0.001,0.027,0.689,4.722,0.441,0.161,0.068,0.131,0.011,0.003,0.82,0.035,0.01
Panchwada,22.72916667,74.30833333,0.009,0.003,0.057,0.02,0.002,0.023,1.962,3.618,0.347,0.17,0.022,0.2,0.01,0.001,0.603,0.031,0.01
Sarla,22.73333333,71.36666667,0.006,0.003,0.048,0.016,0.001,0.023,1.349,2.033,0.14,0.084,0.04,0.218,0.018,0.006,0.603,0.059,0.01
Kheda,22.7375,72.70416667,0.005,0.003,0.073,0.011,0.001,0.011,1.915,4.734,0.479,0.104,0.038,0.328,0.019,0.007,0.682,0.011,0.01
Nava Raisngpur,22.74194444,71.26166667,0.008,0.004,0.024,0.018,0.001,0.019,1.783,1.263,0.2,0.066,0.061,0.295,0.009,0.004,0.71,0.018,0.01
Vejpur2,22.74722222,73.35555556,0.019,0.005,0.051,0.018,0.001,0.028,0.617,1.421,0.196,0.162,0.038,0.36,0.014,0.007,0.702,0.021,0.01
Dhanol,22.75861111,73.50666667,0.015,0.002,0.031,0.012,0.001,0.024,1.303,1.119,0.101,0.166,0.051,0.365,0.018,0.005,0.939,0.067,0.01
Dakor,22.7625,73.16944444,0.009,0.002,0.032,0.017,0.001,0.029,0.721,4.355,0.262,0.178,0.051,0.376,0.019,0.006,0.506,0.042,0.01
Godhra_UR2,22.76916667,73.59111111,0.017,0.002,0.036,0.011,0.002,0.011,0.825,2.396,0.119,0.198,0.053,0.312,0.007,0.007,0.747,0.015,0.01
Godhra2,22.77083333,73.63333333,0.006,0.005,0.064,0.015,0.001,0.011,0.573,2.772,0.303,0.104,0.029,0.374,0.006,0.004,0.668,0.068,0.01
Dedadra,22.775,71.73333333,0.019,0.003,0.036,0.015,0.002,0.024,1.781,4.436,0.378,0.084,0.064,0.385,0.006,0.002,0.946,0.017,0.01
Godhra_UR3,22.78,73.60694444,0.006,0.004,0.044,0.007,0.001,0.029,1.507,2.844,0.453,0.127,0.063,0.116,0.011,0.006,0.768,0.025,0.01
Muliyad,22.78305556,73.17666667,0.019,0.002,0.078,0.016,0.001,0.013,1.697,2.823,0.12,0.196,0.028,0.25,0.008,0.007,0.693,0.018,0.01
Mahudha,22.78333333,72.94166667,0.013,0.003,0.036,0.019,0.002,0.025,0.958,3.04,0.263,0.132,0.069,0.109,0.013,0.006,0.548,0.041,0.01
Dudhai2,22.79166667,70.50416667,0.02,0.003,0.025,0.008,0.001,0.011,0.92,4.433,0.215,0.176,0.013,0.188,0.01,0.007,0.715,0.016,0.01
Godhra_UR1,22.79277778,73.60666667,0.019,0.004,0.044,0.013,0.002,0.025,0.934,2.109,0.365,0.153,0.013,0.271,0.008,0.006,0.962,0.02,0.01
Sara,22.8,71.19722222,0.009,0.005,0.027,0.018,0.001,0.024,1.638,1.381,0.376,0.063,0.057,0.322,0.02,0.005,0.865,0.028,0.01
Santroad,22.8,73.8125,0.014,0.003,0.074,0.011,0.001,0.024,1.594,1.67,0.211,0.105,0.031,0.36,0.008,0.006,0.803,0.06,0.01
Varamkheda,22.8,74.275,0.018,0.005,0.013,0.008,0.001,0.03,0.894,2.583,0.31,0.132,0.02,0.342,0.013,0.007,0.571,0.065,0.01
Tuwa,22.80416667,73.47083333,0.008,0.003,0.031,0.006,0.001,0.012,1.104,1.145,0.128,0.178,0.05,0.255,0.009,0.006,0.829,0.025,0.01
Alina,22.80833333,73.05833333,0.005,0.002,0.018,0.008,0.001,0.012,0.664,1.416,0.465,0.056,0.034,0.115,0.018,0.006,0.654,0.019,0.01
Salaya1,22.80833333,73.89166667,0.008,0.004,0.042,0.009,0.002,0.019,1.374,1.079,0.154,0.14,0.039,0.399,0.008,0.006,0.597,0.055,0.01
Anindra,22.81027778,71.70583333,0.015,0.002,0.079,0.01,0.002,0.023,1.86,2.785,0.295,0.079,0.06,0.373,0.006,0.003,0.895,0.068,0.01
Latuda,22.81305556,71.60805556,0.017,0.002,0.049,0.006,0.002,0.025,0.769,4.075,0.252,0.188,0.066,0.117,0.007,0.003,0.832,0.019,0.01
Morvi,22.81666667,70.84166667,0.016,0.001,0.011,0.01,0.001,0.023,0.814,2.575,0.162,0.096,0.053,0.236,0.019,0.007,0.903,0.061,0.01
Dahod2,22.825,74.23333333,0.013,0.001,0.07,0.009,0.002,0.021,1.57,2.912,0.375,0.167,0.012,0.33,0.009,0.001,0.992,0.019,0.01
Chhabanpur,22.82777778,73.6125,0.007,0.005,0.058,0.017,0.001,0.015,1.185,4.272,0.168,0.123,0.044,0.374,0.012,0.004,0.997,0.065,0.01
Amran1,22.82916667,70.5625,0.009,0.001,0.031,0.019,0.001,0.019,1.252,1.922,0.457,0.164,0.065,0.121,0.016,0.002,0.653,0.012,0.01
Mandvi (Shitla Mata),22.83333333,69.33333333,0.013,0.003,0.018,0.019,0.002,0.03,1.189,2.457,0.455,0.079,0.046,0.288,0.016,0.003,0.596,0.047,0.01
Dadhela,22.8375,74.06666667,0.006,0.002,0.015,0.013,0.001,0.014,1.706,3.932,0.463,0.101,0.031,0.135,0.012,0.003,0.953,0.066,0.01
Dohad_Urban3,22.83972222,74.23388889,0.012,0.002,0.045,0.019,0.001,0.012,0.68,4.365,0.364,0.199,0.024,0.226,0.005,0.002,0.611,0.042,0.01
Mathak,22.84,71.05777778,0.012,0.003,0.075,0.01,0.001,0.02,1.527,3.344,0.187,0.07,0.069,0.249,0.019,0.005,0.512,0.043,0.01
Mathak2,22.84166667,71.05833333,0.02,0.002,0.067,0.014,0.002,0.026,0.779,3.446,0.239,0.179,0.033,0.318,0.015,0.002,0.657,0.023,0.01
Rajsitapur,22.84166667,71.59166667,0.011,0.002,0.055,0.019,0.002,0.028,1.7,2.134,0.348,0.053,0.059,0.353,0.011,0.001,0.727,0.043,0.01
Mandvi,22.84222222,69.37083333,0.015,0.004,0.079,0.012,0.002,0.028,1.319,3.592,0.357,0.134,0.018,0.255,0.017,0.007,0.89,0.053,0.01
Dohad_Urban2,22.84472222,74.26666667,0.008,0.004,0.033,0.016,0.002,0.027,1.492,2.406,0.248,0.173,0.066,0.33,0.013,0.002,0.641,0.027,0.01
Natapur,22.85722222,73.82055556,0.013,0.002,0.077,0.013,0.002,0.029,1.016,2.451,0.239,0.053,0.02,0.338,0.019,0.004,0.98,0.027,0.01
Nichi mandal,22.85833333,70.95,0.006,0.004,0.023,0.019,0.001,0.01,1.162,3.273,0.403,0.073,0.023,0.34,0.018,0.006,0.887,0.041,0.01
Ratanpur1,22.85833333,71.27083333,0.014,0.004,0.055,0.02,0.002,0.027,1.308,4.677,0.463,0.14,0.04,0.293,0.01,0.003,0.808,0.023,0.01
Lakhtar,22.85833333,71.78333333,0.017,0.004,0.074,0.013,0.001,0.029,0.687,1.219,0.203,0.082,0.013,0.242,0.006,0.002,0.902,0.047,0.01
Luni,22.87333333,69.81166667,0.015,0.005,0.012,0.019,0.002,0.026,1.497,1.662,0.136,0.07,0.038,0.184,0.009,0.002,0.983,0.017,0.01
Modhvana,22.88138889,71.73555556,0.018,0.004,0.065,0.011,0.001,0.029,1.899,1.199,0.479,0.171,0.066,0.397,0.014,0.003,0.901,0.016,0.01
Deshalpur m.,22.88333333,69.58333333,0.005,0.001,0.011,0.019,0.002,0.014,1.607,3.355,0.181,0.167,0.044,0.135,0.014,0.002,0.875,0.064,0.01
Bhadreshwar,22.9,69.9,0.007,0.003,0.032,0.016,0.002,0.022,1.457,1.602,0.481,0.122,0.068,0.388,0.011,0.005,0.643,0.051,0.01
Modpar1,22.9,70.66666667,0.013,0.001,0.027,0.01,0.002,0.024,1.997,3.686,0.241,0.172,0.056,0.341,0.016,0.003,0.846,0.021,0.01
Kumarkhan,22.9,72.01666667,0.017,0.004,0.044,0.008,0.001,0.023,1.663,4.091,0.313,0.112,0.069,0.215,0.006,0.002,0.818,0.034,0.01
Wadia,22.9,74.05,0.008,0.001,0.057,0.007,0.002,0.03,1.489,2.666,0.39,0.145,0.045,0.175,0.017,0.001,0.845,0.03,0.01
Kundal,22.90138889,72.22361111,0.018,0.003,0.067,0.018,0.001,0.029,1.266,4.969,0.194,0.2,0.054,0.197,0.006,0.006,0.537,0.068,0.01
Ladvel,22.90833333,73.12083333,0.016,0.002,0.071,0.018,0.002,0.015,0.95,3.544,0.447,0.117,0.043,0.368,0.016,0.003,0.88,0.015,0.01
Vadala,22.91611111,69.85555556,0.008,0.002,0.064,0.014,0.002,0.03,0.828,1.575,0.102,0.117,0.02,0.292,0.009,0.002,0.845,0.049,0.01
Olak,22.91861111,71.86333333,0.007,0.005,0.014,0.011,0.001,0.022,1.995,4.943,0.332,0.091,0.059,0.185,0.006,0.004,0.878,0.014,0.01
Morwa (Hadaf),22.92555556,73.84722222,0.016,0.004,0.011,0.009,0.001,0.014,1.649,3,0.344,0.066,0.027,0.263,0.007,0.004,0.841,0.061,0.01
Amar nagar,22.93333333,70.80833333,0.01,0.001,0.012,0.009,0.002,0.021,1.816,1.461,0.429,0.086,0.067,0.373,0.007,0.006,0.761,0.02,0.01
Mirakhedi,22.93333333,74.2,0.016,0.005,0.051,0.01,0.001,0.015,1.908,2.914,0.247,0.101,0.048,0.164,0.014,0.006,0.944,0.047,0.01
Bambhdai,22.93888889,69.08277778,0.012,0.003,0.042,0.017,0.001,0.02,1.299,1.015,0.304,0.088,0.032,0.217,0.019,0.002,0.761,0.06,0.01
Karagoga,22.94166667,69.6625,0.006,0.003,0.079,0.019,0.001,0.012,1.549,4.177,0.48,0.161,0.04,0.329,0.007,0.005,0.767,0.012,0.01
